Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,RSI,Unemployment_Rate,CPI,Fed_Funds_Rate,SP500
2019-10-02,55.764999,55.895,54.482498,54.740002,53.467026,138449200,55.3115006,54.8569998,43.624593223166784,3.6,257.155,1.83,2940.25
2019-10-03,54.607498,55.240002,53.782501,55.205002,53.921211,114426000,55.358001,54.95124989999999,53.46039451688399,3.6,257.155,1.83,2940.25
2019-10-04,56.41,56.872501,55.9725,56.752499,55.432728,138478800,55.767500399999996,55.12312490000001,60.17168070634399,3.6,257.155,1.83,2940.25
2019-10-07,56.567501,57.482498,56.459999,56.764999,55.444931,122306000,55.9220002,55.28424985,59.298247789063815,3.6,257.155,1.83,2940.25
2019-10-08,56.455002,57.014999,56.0825,56.099998,54.795399,111820000,55.9125,55.380499799999996,52.34261075341559,3.6,257.155,1.83,2940.25
2019-10-09,56.7575,56.947498,56.41,56.7575,55.437611,74770400,56.3159996,55.42349985,58.52287559674249,3.6,257.155,1.83,2940.25
2019-10-10,56.982498,57.610001,56.825001,57.522499,56.184818,113013600,56.779499,55.510999850000005,67.43793112321944,3.6,257.155,1.83,2940.25
2019-10-11,58.237499,59.41,58.077499,59.052502,57.679241,166795600,57.2394996,55.72924995000001,71.55535056551152,3.6,257.155,1.83,2940.25
2019-10-14,58.724998,59.532501,58.6675,58.967499,57.596218,96427600,57.679999599999995,55.92887499999999,72.8116451278299,3.6,257.155,1.83,2940.25
2019-10-15,59.0975,59.412498,58.720001,58.830002,57.46191,87360000,58.2260004,56.11162515000001,69.274369101291,3.6,257.155,1.83,2940.25
2019-10-16,58.342499,58.810001,58.299999,58.592499,57.229931,73903200,58.59300019999999,56.256625050000004,69.6312374071271,3.6,257.155,1.83,2940.25
2019-10-17,58.772499,59.037498,58.380001,58.82,57.452145,67585200,58.8525004,56.43562495,72.41284313725485,3.6,257.155,1.83,2940.25
2019-10-18,58.647499,59.395,58.572498,59.102501,57.728077,97433600,58.8625002,56.669125050000005,69.02140586370422,3.6,257.155,1.83,2940.25
2019-10-21,59.380001,60.247501,59.330002,60.127499,58.729237,87247200,59.09450019999999,56.9415,72.00110071838563,3.6,257.155,1.83,2940.25
2019-10-22,60.290001,60.549999,59.904999,59.990002,58.594936,82293600,59.3265002,57.220000199999994,83.76204919304195,3.6,257.155,1.83,2940.25
2019-10-23,60.525002,60.810001,60.305,60.794998,59.381214,75828800,59.76700000000001,57.4968751,84.44237447747979,3.6,257.155,1.83,2940.25
2019-10-24,61.127499,61.200001,60.452499,60.895,59.478893,69275200,60.181999999999995,57.79300009999999,81.0648604132611,3.6,257.155,1.83,2940.25
2019-10-25,60.790001,61.682499,60.720001,61.645,60.211452,73477200,60.6904998,58.14,82.95070238324001,3.6,257.155,1.83,2940.25
2019-10-28,61.855,62.3125,61.68,62.262501,60.81459,96572800,61.117500199999995,58.45350005,91.87903830960038,3.6,257.155,1.83,2940.25
2019-10-29,62.2425,62.4375,60.642502,60.822498,59.408073,142839600,61.283999400000006,58.687250000000006,74.96926291436712,3.6,257.155,1.83,2940.25
2019-10-30,61.189999,61.325001,60.302502,60.814999,59.400745,124522000,61.2879996,58.99099985,72.29934450424948,3.6,257.155,1.83,2940.25
2019-10-31,61.810001,62.2925,59.314999,62.189999,60.743771,139162000,61.546999400000004,59.3402497,71.70526852919147,3.6,257.155,1.83,2940.25
2019-11-01,62.384998,63.982498,62.290001,63.955002,62.467728,151125200,62.008999800000005,59.70037484999999,77.99608442367841,3.6,257.879,1.55,3066.91
2019-11-04,64.332497,64.462502,63.845001,64.375,62.87796,103272000,62.43149960000001,60.08087489999999,80.16864414175313,3.6,257.879,1.55,3066.91
2019-11-05,64.262497,64.547501,64.080002,64.282501,62.787621,79897600,63.1235002,60.490000050000006,81.45385991240678,3.6,257.879,1.55,3066.91
2019-11-06,64.192497,64.372498,63.842499,64.309998,62.814476,75864400,63.822500000000005,60.86762495000001,81.03449250502594,3.6,257.879,1.55,3066.91
2019-11-07,64.684998,65.087502,64.527496,64.857498,63.539436,94940400,64.35599979999999,61.2343749,81.58617684997121,3.6,257.879,1.55,3066.91
2019-11-08,64.672501,65.110001,64.212502,65.035004,63.713329,69986400,64.57200019999999,61.53349999999999,79.69745480212342,3.6,257.879,1.55,3066.91
2019-11-11,64.574997,65.6175,64.57,65.550003,64.217865,81821200,64.8070008,61.862625200000004,82.17592054076832,3.6,257.879,1.55,3066.91
2019-11-12,65.387497,65.697502,65.230003,65.489998,64.159073,87388800,65.0485002,62.19562499999999,79.73396367225276,3.6,257.879,1.55,3066.91
2019-11-13,65.282501,66.195,65.267502,66.1175,64.773827,102734400,65.4100006,62.57187505,81.00322089181941,3.6,257.879,1.55,3066.91
2019-11-14,65.9375,66.220001,65.525002,65.660004,64.32563,89182800,65.5705018,62.913875250000004,74.69249722755491,3.6,257.879,1.55,3066.91
2019-11-15,65.919998,66.445,65.752502,66.440002,65.089783,100206400,65.8515014,63.2807503,75.18841411612046,3.6,257.879,1.55,3066.91
2019-11-18,66.449997,66.857498,66.057503,66.775002,65.417969,86703200,66.0965012,63.613125450000005,91.40871195583648,3.6,257.879,1.55,3066.91
2019-11-19,66.974998,67.0,66.347504,66.572502,65.219574,76167200,66.31300200000001,63.94225045,88.99424761493478,3.6,257.879,1.55,3066.91
2019-11-20,66.385002,66.519997,65.099998,65.797501,64.460335,106234400,66.24900219999999,64.1923756,76.59417524855112,3.6,257.879,1.55,3066.91
2019-11-21,65.922501,66.002502,65.294998,65.502502,64.171341,121395200,66.21750180000001,64.42275070000001,64.56470588235294,3.6,257.879,1.55,3066.91
2019-11-22,65.647499,65.794998,65.209999,65.445,64.115005,65325200,66.0185014,64.6127507,60.80807207428505,3.6,257.879,1.55,3066.91
2019-11-25,65.677498,66.610001,65.629997,66.592499,65.239174,84020400,65.9820008,64.82925060000001,69.23394222551718,3.6,257.879,1.55,3066.91
2019-11-26,66.735001,66.790001,65.625,66.072502,64.729736,105207600,65.88200079999999,65.0917508,63.56293124252015,3.6,257.879,1.55,3066.91
2019-11-27,66.394997,66.995003,66.327499,66.959999,65.599205,65235600,66.1145004,65.3990008,65.37477654482228,3.6,257.879,1.55,3066.91
2019-11-29,66.650002,67.0,66.474998,66.8125,65.454697,46617600,66.3765,65.63012585,63.055435671335076,3.6,257.879,1.55,3066.91
2020-04-01,61.625,62.18,59.782501,60.227501,59.143559,176218400,62.8095,64.04762529999999,47.885617366665954,14.8,256.032,0.05,2470.5
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.13047,165934000,62.13399940000001,63.44775005,38.79087556865259,14.8,256.032,0.05,2470.5
2020-04-03,60.700001,61.424999,59.7425,60.352501,59.266312,129880000,61.817499399999996,62.85250010000001,49.652594992994786,14.8,256.032,0.05,2470.5
2020-04-06,62.724998,65.777496,62.345001,65.6175,64.436554,201820400,62.2004996,62.806249949999994,53.82716146928847,14.8,256.032,0.05,2470.5
2020-04-07,67.699997,67.925003,64.75,64.857498,63.690231,202887200,62.457499600000006,62.4823749,55.21241605472211,14.8,256.032,0.05,2470.5
2020-04-08,65.684998,66.842499,65.307503,66.517502,65.320366,168895200,63.715499799999996,62.365375099999994,58.37200524558426,14.8,256.032,0.05,2470.5
2020-04-09,67.175003,67.517502,66.175003,66.997498,65.791718,161834800,64.8684998,62.61237504999999,67.0659714729096,14.8,256.032,0.05,2470.5
2020-04-13,67.077499,68.425003,66.457497,68.3125,67.083046,131022800,66.4604996,62.55337505,71.45365720745386,14.8,256.032,0.05,2470.5
2020-04-14,70.0,72.0625,69.512497,71.762497,70.47097,194994800,67.689499,63.113874800000005,69.09039030145053,14.8,256.032,0.05,2470.5
2020-04-15,70.599998,71.582497,70.157501,71.107498,69.827751,131154400,68.939499,63.508499699999994,68.27275480418157,14.8,256.032,0.05,2470.5
